Tópico,Dias da Semana,Horários,Ordem,Cursos e Projetos,Link
Notion,,,,,
GitHub,,,,,
dio.,,,,,
ChatGPT,Terça,17:00 ás 17:30,4,,https://www.free4talk.com/
Trabalhando em equipes ágeis,,,,Princípios de Agilidade e Desenvolvimento Colaborativo (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Princi%CC%81pios%20de%20Agilidade%20e%20Desenvolvimento%20Colabor%2051c552b0da8147ce872c98f9452b7c03.md),
Versionamento de código com Git e Github,,,,Princípios de Agilidade e Desenvolvimento Colaborativo (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Princi%CC%81pios%20de%20Agilidade%20e%20Desenvolvimento%20Colabor%2051c552b0da8147ce872c98f9452b7c03.md),
Desafios de Projetos: Crie um portfólio vencedor,,,,Princípios de Agilidade e Desenvolvimento Colaborativo (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Princi%CC%81pios%20de%20Agilidade%20e%20Desenvolvimento%20Colabor%2051c552b0da8147ce872c98f9452b7c03.md),
Aula inaugural - Desenvolvimento back-end com Kotlin,,,,Princípios de Agilidade e Desenvolvimento Colaborativo (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Princi%CC%81pios%20de%20Agilidade%20e%20Desenvolvimento%20Colabor%20890789350ed24968a0d356065aafe6d5.md),
Contribuindo em um projeto open source no GitHub,,,,Princípios de Agilidade e Desenvolvimento Colaborativo (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Princi%CC%81pios%20de%20Agilidade%20e%20Desenvolvimento%20Colabor%20a8b3863e81ee47d6b1c306edf9f2ed3a.md),
Conhecendo o Kotlin e sua documentação oficial,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%209ce781a0fa80448597b68376255dd363.md),
Introdução prática à linguagem de programação Kotlin,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%209ce781a0fa80448597b68376255dd363.md),
Estruturas de controle de fluxo e coleções em Kotlin,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%209ce781a0fa80448597b68376255dd363.md),
Orientação a objetos e tipos de classes na pratica com Kotlin,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%209ce781a0fa80448597b68376255dd363.md),
O poder das funções em Kotlin,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%209ce781a0fa80448597b68376255dd363.md),
Abstraindo formações da DIO usando orientação a objetos com Kotlin,,,,Aprendendo Kotlin na Prática sem Sua Documentação Oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Aprendendo%20Kotlin%20na%20Pra%CC%81tica%20sem%20Sua%20Documentac%CC%A7a%20aa1073e9ab234a7485713b79ccdad2dc.md),
Desafios de código: Aperfeiçoe sua lógica e pensamento computacional,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%2097e95e9fe5d54f02a8699fed1b6ad82b.md),
Suas primeiras condições em Kotlin,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Avançando tecnicamente com a expressão WHEN,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
Explorando mapas loops e regras com Kotlin,,,,Praticando Sua Lógica de Programação com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cursos%20Projetos%20Mentorias%20Desafios%20de%20Co%CC%81digo%2078e14d3b4d0a4c97885a6abaaf22e53b/Praticando%20Sua%20Lo%CC%81gica%20de%20Programac%CC%A7a%CC%83o%20com%20Kotlin%200a76e8097c4b4ebfaf2c1b78cabdad0f.md),
