Status,Tipo,Nome,Data,Conteúdos
A Fazer,Desafio de Projeto,Princípios de Agilidade e Desenvolvimento Colaborativo,,Contribuindo em um projeto open source no GitHub (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Contribuindo%20em%20um%20projeto%20open%20source%20no%20GitHub%20bddba80aa2354701929207f63fc3d34f.md)
A Fazer,Desafio de Projeto,Aprendendo Kotlin na Prática sem Sua Documentação Oficial,,Abstraindo formações da DIO usando orientação a objetos com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Abstraindo%20formac%CC%A7o%CC%83es%20da%20DIO%20usando%20orientac%CC%A7a%CC%83o%20%202ad5ac378c1d48dca0a746f67f82d974.md)
A Fazer,Desafio de Projeto,Kotlin no Backend com Spring Boot 3,,Documentando e testando sua Api Rest com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Documentando%20e%20testando%20sua%20Api%20Rest%20com%20Kotlin%2003baab67924a4bcaa3484d93c88ddec9.md)
A Fazer,,,,
A Fazer,Curso,Princípios de Agilidade e Desenvolvimento Colaborativo,"January 8, 2024","Trabalhando em equipes ágeis (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Trabalhando%20em%20equipes%20a%CC%81geis%20dcf82cb70e5e466f9300d737a76a476b.md), Versionamento de código com Git e Github (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Versionamento%20de%20co%CC%81digo%20com%20Git%20e%20Github%20bc107a6a19bb43828b153ffaf2e0b366.md), Desafios de Projetos: Crie um portfólio vencedor (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Desafios%20de%20Projetos%20Crie%20um%20portfo%CC%81lio%20vencedor%205ad742c964fd4026a3c49943157fc2b6.md)"
A Fazer,Mentoria,Princípios de Agilidade e Desenvolvimento Colaborativo,,Aula inaugural - Desenvolvimento back-end com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Aula%20inaugural%20-%20Desenvolvimento%20back-end%20com%20Kotl%20aadbad8f9f094ef89dc32c94a2c286b2.md)
A Fazer,Curso,Aprendendo Kotlin na Prática sem Sua Documentação Oficial,"January 9, 2024","Conhecendo o Kotlin e sua documentação oficial (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Conhecendo%20o%20Kotlin%20e%20sua%20documentac%CC%A7a%CC%83o%20oficial%20573eaa77c62245f7bb4f7ea4a2ec5707.md), Introdução prática à linguagem de programação Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Introduc%CC%A7a%CC%83o%20pra%CC%81tica%20a%CC%80%20linguagem%20de%20programac%CC%A7a%CC%83%20c989d80cb780484c8db4e7ae60d6124a.md), Estruturas de controle de fluxo e coleções em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Estruturas%20de%20controle%20de%20fluxo%20e%20colec%CC%A7o%CC%83es%20em%20Ko%207a1690eb3e8d42c9aa08aa0eff806620.md), Orientação a objetos e tipos de classes na pratica com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Orientac%CC%A7a%CC%83o%20a%20objetos%20e%20tipos%20de%20classes%20na%20prati%20c957ecac6303419f9018d9b6a45952d9.md), O poder das funções em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/O%20poder%20das%20func%CC%A7o%CC%83es%20em%20Kotlin%20869bbb8c0f39499d9eff18b702a41d27.md)"
A Fazer,Curso,Praticando Sua Lógica de Programação com Kotlin,"January 10, 2024",Desafios de código: Aperfeiçoe sua lógica e pensamento computacional (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Desafios%20de%20co%CC%81digo%20Aperfeic%CC%A7oe%20sua%20lo%CC%81gica%20e%20pens%20f1010a2375fd428aa0669f7c64e0cfa8.md)
A Fazer,Desafio de Código,Praticando Sua Lógica de Programação com Kotlin,"January 10, 2024","Suas primeiras condições em Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Suas%20primeiras%20condic%CC%A7o%CC%83es%20em%20Kotlin%203341ff13bff84b6c8b0e0cce9c44e14a.md), Avançando tecnicamente com a expressão WHEN (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Avanc%CC%A7ando%20tecnicamente%20com%20a%20expressa%CC%83o%20WHEN%206c3db7534dcc41ae9b36ac49c295f7e1.md), Explorando mapas loops e regras com Kotlin (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Explorando%20mapas%20loops%20e%20regras%20com%20Kotlin%20a00fd98c59164617ab536b23d7bf6eb7.md), Utilizando a keyword object com orientação a objetos (oo) (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Utilizando%20a%20keyword%20object%20com%20orientac%CC%A7a%CC%83o%20a%20obj%208c94997a15274f45a9f610a1b61627e8.md), Orientação a objetos (OO) visando soluções mais idiomáticas (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Orientac%CC%A7a%CC%83o%20a%20objetos%20(OO)%20visando%20soluc%CC%A7o%CC%83es%20mai%202b92f33da29642b49fda1c461df9fb51.md)"
A Fazer,Desafio de Código,Explorando Padrões de Projetos em Kotlin,,"Builder (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Builder%20a6c133d2ead0414c94f37ae401472e15.md), Adapter (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Adapter%2088232bdf69284477b9520453f419887e.md), Extension Function (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Extension%20Function%20899d9caf202b4a17a02e9d3698e54ee1.md), Singleton (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Singleton%20e1e743af03d14084850acec8d66808df.md), Processamento paralelo / assíncrono (Desenvolvimento%20Backend%20com%20Kotlin%2040627d9233704ef49d833e2ee5cd7cbd/Cronograma%20de%20Estudos%207435020aba9f45ad8a8d1d35031b9ebe/Processamento%20paralelo%20assi%CC%81ncrono%205af9b5656d6942409a67b6145a5660e4.md)"
